Book,Chapter,Chapter Title,Scene,Scene Title,Start Date,Day,Duration,What happens,Characters,Milestone,Note,POV,Central theme,Motifs,Mood,Weather,Setting,Keywords,Tension,Purpose,Chapter theme,Arc theme,Book theme
Book 2,32,Alternatives,Scene 4,Foolish feelings,"Friday, March 9, 2018 (est.)",Friday,1 day,"Jay realizes the pain of leaving Ian dwarfs any work stress. Over endless coffee at Café Lemon, Fay names it: ""You're head over heels in love."" Meanwhile Ian correctly deduces Jay interviewed elsewhere and starts drafting a retention plan.","Ian, Jay",Fay names Jay's love; Ian resolves to keep him,,,,,,,,,,,,,
Book 2,32,Alternatives,Scene 5,Definitely not love,"Saturday, March 10, 2018 (est.)",Saturday,1 day,"A ""men's night out"" with Rus, Mic, and Van; all three diagnose Jay as in love. A drunken sing-along earns a noise complaint. Hungover and alone (no Ian to tend him), Jay concludes he can't leave — he'll **stay and endure**, however much it hurts.","Ian, Jay",Jay decides to stay,,,,,,,,,,,,,
Book 2,33,What's worth fighting for,Scene 1,Resolve,"Monday, March 12, 2018 (est.)",Monday–Wednesday,~3 days,The office is a disaster zone — colleagues literally living in sleeping bags. Jay's resolve wavers but holds; he gets a **second-interview call**. Seeing Ian on the verge of tears through the glass shakes him.,"Ian, Jay",,,,,,,,,,,,,,
Book 2,33,What's worth fighting for,Scene 2,Business district,"Thursday, March 15, 2018 (est.)",Thursday,1 day,Jay attends the relaxed second interview (Accord Financial). He leaves more certain than ever that he'd trade the skyscrapers and prestige for an ordinary crowd — but **not** for losing Ian.,"Ian, Jay",,,,,,,,,,,,,,
Book 2,33,What's worth fighting for,Scene 3,Battleground,"Friday, March 16, 2018 (est.)",Friday,1 day,"At **2:15 p.m. the strategy is submitted** and the team collapses in relief. A job offer arrives by phone — and Jay **declines it**, choosing to stay. Ian, misreading the smiling call as an acceptance, flees to the bathroom in despair, then resolves to win Jay back Monday.","Ian, Jay",Strategy season ends; Jay declines the outside offer,,,,,,,,,,,,,
Book 2,33,What's worth fighting for,Scene 4,Promotion,"Monday, March 19, 2018 (est.)",Monday,1 day,"At his delayed review Ian apologizes for the punishing season and offers a **new contract: permanent, ~45% raise, ""coordinator"" title, executive benefits**. Jay, suspicious it's all to keep him, accepts — and decides he'll **buy the apartment after all**.","Ian, Jay",Jay's new contract and title; reverses the apartment cancellation,,,,,,,,,,,,,
Book 2,33,What's worth fighting for,Scene 5,Mental fortitude,"Tuesday, March 20, 2018 (est.)",Tuesday–Wednesday,~1 week,"Jay re-engages the agent and bank. Ian announces the team will **expand — interviews in April, hires by May for the retreat**. Jay learns Ian is ""notoriously picky,"" and HR offers keep arriving (Jay politely declines them all).","Ian, Jay",Hiring expansion announced,,,,,,,,,,,,,
Book 2,34,Damp weather,Scene 1,Warming soup,"Monday, March 26, 2018 (est.)",late March,~1 week,"The crisis past, daily lunches resume (Willow & Sage soup at last). Jay signs up for retreat activities — **hike, cooking class, paddle boats** — and arranges to share a boat with Ian, blushing as Fay's ""head over heels"" verdict echoes.","Ian, Jay",,,,,,,,,,,,,,
Book 2,34,Damp weather,Scene 2,Submitting the paperwork,"Friday, March 30, 2018 (est.)",Friday onward,~1 week,"Jay submits the mortgage paperwork (two weeks to completion) and, newly settled, calls his mother to arrange an **Easter visit home**. He shops for groceries, sibling gifts, and — easily now — casual clothes.",Jay,Mortgage application submitted; Easter visit planned,,,,,,,,,,,,,
Book 2,34,Damp weather,Scene 3,Intentions,"Monday, April 2, 2018 (est.)",Monday onward (~1.5 weeks),~1.5 weeks,"**Q1 quarterly reporting** begins, but the streamlined Hartwell processes make it far more bearable. Jay's salary lands at **80,000 (four times normal)** — back-pay, quarterly bonus, and strategy bonus combined. Reports go out the following Monday.",Jay,"Q1 reports; the 80,000 paycheck",,,,,,,,,,,,,
Book 2,34,Damp weather,Scene 4,Denial,"Monday, April 9, 2018 (est.)",Monday–Thursday,~4 days,"Overtime ends; talk turns to Easter and the party. Jay secures the **company limousine** and, at the **spring quarterly party (Thu Apr 12)**, watches Luc flirt and reflects — with deliberate denial — on how magnetic Ian is.","Ian, Jay, Luc",Spring quarterly party,,,,,,,,,,,,,
Book 2,34,Damp weather,Scene 5,Festive breakfast,"Friday, April 13, 2018 (est.)",Friday–Monday,4 days,"The Easter long weekend at his mother's: cooking, painting eggs, ferrying his siblings in the limousine, gift-giving. His mother, tearful, says she's proud; Jay reflects warmly on his childhood despite everything.",Jay,Easter at home (Jay's first family visit since Ema's graduation),"The manuscript places Easter in mid-April, *after* Q1 reports; the real 2018 Easter was **April 1** — see flags.",,,,,,,,,,,,
Book 2,35,Home,Scene 1,Help,"Tuesday, April 17, 2018 (est.)",Tuesday–Thursday,~3 days,"Back from Easter, Jay learns his **mortgage paperwork is ready**; he signs Wednesday and gets the keys, with the move set for Saturday. Rus's crew and several coworkers — and, pointedly, Ian — sign on to help.","Ian, Jay",,,,,,,,,,,,,,
Book 2,35,Home,Scene 2,Interior design,"Thursday, April 19, 2018 (est.)",Thursday–Friday,2 days,"Jay splurges joyfully on the new home (towels, bath products, a new plant pot, dishes). Overwhelmed by packages, he calls Ian, who comes over and helps him haul and unpack until eleven; they tour the huge storage unit Ian clearly arranged.","Ian, Jay",,,,,,,,,,,,,,
Book 2,35,Home,Scene 3,The move,"Saturday, April 21, 2018 (est.)",Saturday,1 day,"Moving day: Rus, Mic, and Van with a van; Zoe and Luc; Ian (in rare casual wear) with a painting; and an uninvited **Leo** bearing housewarming gifts (and making amends). Two worlds mix easily; the move takes under three hours.","Ian, Leo, Luc, Zoe",Jay moves into the riverside apartment,,,,,,,,,,,,,
Book 2,35,Home,Scene 4,Housewarming party,"Saturday, April 21, 2018 (est.)",Saturday (evening),same night,"An impromptu, rowdy housewarming (Leo's sound system, Van's shirtless fitness demo, Rus bluntly telling Ian his management is poor — which Ian concedes). After everyone leaves, Ian cleans up and, at Jay's wistful request, **stays the night on the couch**.","Ian, Jay, Leo",,,,,,,,,,,,,,
Book 2,35,Home,Scene 5,First morning,"Sunday, April 22, 2018 (est.)",Sunday → following week,~1 week,"A hungover, blissful first morning — coffee, the cold balcony, and Jay handing Ian a **spare key** ""in case of emergency."" The new ten-minute commute begins; that week Ian is away each afternoon **interviewing senior-analyst candidates**.","Ian, Jay",Jay gives Ian a spare key,,,,,,,,,,,,,
Book 2,36,Foolish fantasies,Scene 1,Ray Shore,"Monday, May 7, 2018",Monday,1 day,"**Ray Shore** — Ian's brilliant, blunt, socially indifferent former classmate — joins as senior analyst. He grills Ian without deference, claims the far desk, and leaves at 4 p.m. sharp. Ian is visibly at ease with him.","Ian, Ray",Ray Shore hired (first new senior analyst),,,,,,,,,,,,,
Book 2,36,Foolish fantasies,Scene 2,Work-life balance,"Tuesday, May 8, 2018",Tuesday–Friday,~1 week,"Ray audits the whole methodology; the team adapts to his refusal of overtime and pleasantries. Ian asks **Jay to co-conduct next week's junior-analyst interviews**, and to let new hires take over Jay's administrative load — unsettling Jay, who fears losing his usefulness.","Ian, Jay, Ray",,,,,,,,,,,,,,
Book 2,36,Foolish fantasies,Scene 3,Interviews,"Monday, May 14, 2018 (est.)",Monday–Friday,1 week,"Four candidates each afternoon. Ian, wary of charm, defers to Jay's read on character; they settle on **Jay's top two** (a modest woman struggling with industry culture, and an awkward but humane man). Ian's trust thrills and aches Jay in equal measure.","Ian, Jay",Junior analysts selected (Jay's picks),,,,,,,,,,,,,
Book 2,36,Foolish fantasies,Scene 4,Intrusive thoughts,"Saturday, May 19, 2018 (est.)",Saturday–Sunday,~weekend,"Jay terminates his old lease (meeting set), photographs the new flat for his family, and can't stop intrusive thoughts of being held by Ian — fantasies he scolds himself for entertaining.","Ian, Jay",,,,,,,,,,,,,,
Book 2,36,Foolish fantasies,Scene 5,Rescue,"Tuesday, May 22, 2018 (est.)",Tuesday–Wednesday,~2 days,"Both junior hires accept (starting in June, with a second senior analyst, **Liv Moreau**). Ray refuses the retreat outright. We learn Ian engineered Ray's hire (via Leo) specifically to lighten the workload — and reclaim his evenings with Jay. The retreat is two days off.","Ian, Jay, Leo, Liv, Ray",,,,,,,,,,,,,,
Book 2,37,Thunderstorm,Scene 1,Pine woods,"Thursday, May 24, 2018",Thursday,1 day,"Ian collects Jay at 7 a.m. (emergency key, underground garage); the team departs at 4 p.m. on luxury coaches for the six-hour drive to **Pinewood Resort**. Jay sits beside Ian, they talk the whole way, and arrive at 10 p.m. in rising thunder — adjacent rooms.","Ian, Jay",Company retreat begins (storm-bound),,,,,,,,,,,,,
Book 2,37,Thunderstorm,Scene 2,Fragrance,"Friday, May 25, 2018",Friday,same day,"Storms cancel outdoor activities. Jay and Ian attend a **scent workshop** and create a **shared fragrance** — Ian's warmth and Jay's freshness blended — then a meditative tea ceremony. A small, charged intimacy.","Ian, Jay",Jay and Ian's shared scent,,,,,,,,,,,,,
Book 2,37,Thunderstorm,Scene 3,Fashion,"Friday, May 25, 2018",Friday (evening),same night,"A fashion show, photo shoot, and old-cinema dinner under a glass roof split by lightning. Stylists put Ian in an avant-garde, skin-tight outfit (Leo's doing) that he wears with disarming confidence; Jay can't stop staring. They escape early and talk by the fire until 1 a.m.","Ian, Jay, Leo",,,,,,,,,,,,,,
Book 2,37,Thunderstorm,Scene 4,The Green Fairy,"Saturday, May 26, 2018",Saturday,1 day,"A cook-off: Ian's masterful kitchen skills win the finance team decisively (prize TBA). After concerts (Ian rapt at a string quartet), they retreat to Ian's room and drink far too much **absinthe**, trading their deepest fears, until Jay drifts off in Ian's bed.","Ian, Jay",Finance wins the cook-off; the absinthe night,,,,,,,,,,,,,
Book 2,37,Thunderstorm,Scene 5,Spa treatments,"Sunday, May 27, 2018",Sunday,1 day,"Both wake brutally hungover in Ian's bed (nothing happened). They recover side by side at the spa. Leo reveals the cook-off prize: an **all-expenses thermal-springs weekend for the finance team** (Ian smells a trap). They drive home, arriving at 8 p.m.","Ian, Leo",The thermal-springs prize awarded (the Book 3 hot-springs trip is set in motion),,,,,,,,,,,,,
Book 2,38,New faces,Scene 1,New hires,"Monday, June 4, 2018",Monday,1 day,"Onboarding day: junior analysts **Rin Harris** and **Gal Gray**, plus senior analyst **Liv Moreau** — warm, charming, and (to Ian) immediately suspect precisely because of it. Ray remains aloof.","Ian, Liv, Gal, Rin, Ray","Liv, Rin, and Gal join the team",,,,,,,,,,,,,
Book 2,38,New faces,Scene 2,Nothing to offer,"Wednesday, June 6, 2018 (est.)",Wednesday,1 day,"Jay returns the keys to his old studio (full deposit back) and, alone in the empty room, grieves the refuge it had been — crying that night in the new apartment despite himself.",Jay,Old lease ended,,,,,,,,,,,,,
Book 2,38,New faces,Scene 3,Trapped,"Monday, June 11, 2018 (est.)",Monday–Friday,~1 week,"Liv charms the whole team; Jay stays guarded, trusting Ian's wariness. An **integration party at Murphy's (Fri)** — Ian attends, then leaves early, consumed by jealousy watching Jay surrounded by charming women, convinced he is slowly losing him.","Ian, Jay, Liv",,,,,,,,,,,,,,
Book 2,38,New faces,Scene 4,The wrong kind of attention,"Monday, June 18, 2018 (est.)",Monday–Friday,~1 week,"**Gal's attention turns personal and excessive** — uninvited coffee, manufactured questions, requests to be shown around Jay's neighbourhood. Ian, recognizing the pattern of his own old betrayal, grows alarmed. Rin, by contrast, befriends Luc and tries (in vain) to crack Ray.","Ian, Jay, Luc, Gal, Rin, Ray",,,,,,,,,,,,,,
Book 2,38,New faces,Scene 5,Sweet closeness,"Monday, June 25, 2018 (est.)",Monday → July,~1.5 weeks,"As **July quarterly reports** loom, the senior analysts train up. Ray bluntly shuts down Gal's hovering. Ian begins **driving Jay home each night** — a small, savoured intimacy he's longed to allow himself.","Ian, Jay, Gal, Ray",Ian starts driving Jay home,,,,,,,,,,,,,
Book 2,39,Facing the truth,Scene 1,Workflow disruptions,"Monday, July 2, 2018 (est.)",Monday onward,~1.5 weeks,"**Q2 quarterly reports** descend. Gal keeps disrupting Jay's work despite warnings; Ian formally redirects her. The evening drives home continue, the only peace in the chaos.","Ian, Jay, Gal",,,,,,,,,,,,,,
Book 2,39,Facing the truth,Scene 2,After the flood,"Wednesday, July 11, 2018 (est.)",Wednesday–Friday,~3 days,"Reports submitted Wednesday. Jay requests the following **Friday off** for his family's visit; Ian asks to come over for **Jay's birthday (this Sunday)** with a gift. In the kitchen, Jay's kindness to a sulking Gal lands wrong — she fixates on him.","Ian, Jay, Gal",,,,,,,,,,,,,,
Book 2,39,Facing the truth,Scene 3,Impossible love,"Friday, July 13, 2018 (est.)",Friday (evening),same night,"At the **summer quarterly party**, a drunk Gal corners Jay; Ian extracts him to the terrace. Ian names Gal's conduct as harassment and vows to handle it. Standing close in the city lights, **Jay finally admits to himself he is in love with Ian** — deeply, hopelessly. He goes home and weeps into Ian's burgundy blanket.","Ian, Jay, Gal",Summer quarterly party; Jay admits his love (to himself),,,,,,,,,,,,,
Book 2,39,Facing the truth,Scene 4,I notice what you need,"Saturday, July 14, 2018 (est.)",Saturday–Sunday,2 days,"After a Saturday gym session, **Jay's 31st birthday (Sunday)**: Ian visits with a thoughtful **coffee maker** and blend selection, and they spend the afternoon on the balcony. Ian offers to run with Jay sometime. The gift says ""I pay attention. I notice what you need"" — gift and agony at once.","Ian, Jay",Jay's 31st birthday,"Jay's canonical birthday is **July 14**; the manuscript narrates it as a Sunday (July 14, 2018 is a Saturday) — see flags.",,,,,,,,,,,,
Book 2,39,Facing the truth,Scene 5,Complications,"Monday, July 16, 2018 (est.)",Monday–Thursday,~4 days,"Ian formally warns Gal (she cries, then turns passive-aggressive). Rus and Luc conspire to throw Jay a birthday party; Jay relents. Leo's true aim surfaces: a ""test run"" to **soften Ian toward his own upcoming 40th-birthday celebration (in September)**. Ian quietly decides to fire Gal at month's end. Jay's family departs Thursday at 2 p.m.","Ian, Jay, Leo, Luc, Gal",Leo plants the seed of Ian's 40th-birthday party (the Book 3 opener),,,,,,,,,,,,,
Book 2,40,The storm before the calm,Scene 1,Family visit,"Thursday, July 19, 2018 (est.)",Thursday–Friday,2 days,"Jay's mother and siblings arrive for the weekend; he cooks a homey welcome dinner and gives up his bed for a floor mattress. Friday is a full city tour — the office lobby (where the receptionist knows his name), ice cream, Willow & Sage, his old neighbourhood, Café Lemon.",Jay,Jay's family visits the new apartment,"The manuscript calls Jay's day off ""Friday the nineteenth,"" but July 19, 2018 is a Thursday — see flags.",,,,,,,,,,,,
Book 2,40,The storm before the calm,Scene 2,Affection,"Saturday, July 21, 2018 (est.)",Saturday,1 day,"Birthday-shopping with the family by day; that evening **Ian arrives to escort Jay** to the party and gives a second gift — **onyx-and-white-gold cufflinks and tiepin** — fastening them himself, an intimacy that leaves Jay breathless. Leo has hijacked the styling and venue.","Ian, Jay, Leo",,,,,,,,,,,,,,
Book 2,40,The storm before the calm,Scene 3,Celebration,"Saturday, July 21, 2018 (est.)",Saturday (evening),same night,"The party is at **The Palladium** (Leo's extravagance). Jay's coworkers, gym friends, and family mingle warmly; his mother is pointedly cool toward Ian (""rich men don't do things without reasons""). Jay is happy and surrounded by people who care. Leo even books a stylist appointment as a ""gift.""","Ian, Jay, Leo",Jay's birthday party at The Palladium,,,,,,,,,,,,,
Book 2,40,The storm before the calm,Scene 4,Downfall,"Thursday, July 26, 2018 (est.)",Thursday–Friday,2 days,Gal corners Jay in the archive room; he firmly tells her to leave — then she **files a false assault complaint**. Surveillance footage instantly exonerates Jay; **Gal is fired on the spot** and referred to legal. Leo comes over with takeout and reveals Ian once weathered an identical false accusation years ago — which is why the building has cameras everywhere now.,"Ian, Jay, Leo, Gal",Gal's false complaint; her termination,,,,,,,,,,,,,
Book 2,40,The storm before the calm,Scene 5,Even if it hurts,"Saturday, July 28, 2018 (est.)",Saturday → following week,~1 week,"Jay reels with guilt for having recommended Gal but resolves anew to **stay by Ian's side, whatever it costs**. Ian, blaming himself for delaying her dismissal, comes to Jay's apartment uninvited and finally **pulls him into a long embrace**. Jay asks if they can still take their cancelled winter outing ""someday""; Ian says yes. Both, separated by a wall, ache for the other — and both choose to keep loving in silence. **End of Book 2.**","Ian, Jay, Gal","The embrace; both deeper in love, still unconfessed — end of Book 2",,,,,,,,,,,,,
Book 3,41,New traditions,Scene 1,Companions,"Thursday, August 2, 2018 (est.)",Thursday,1 day,"Two years to the day since Jay arrived (and the morning after Ian's embrace closed Book 2). With Gal gone, the office breathes again. Over an after-work dinner — pointedly *not* a business dinner — Ian thanks Jay for staying and calls them ""companions."" Jay goes home and admits, fully, that he is completely in love.","Ian, Jay, Gal","Jay's two-year anniversary; the first ""companions"" dinner",Picks up directly from Book 2 Ch40 (the embrace was ~Wed Aug 1).,Jay,ritual/new tradition,denial | belonging | gratitude,tender,"warm, still late-summer evening",restaurant,"two-year anniversary, ""companions"", not-a-business-dinner, confession-to-self",2,"Sets the year's emotional baseline — the ""companions"" frame both will spend the book failing to name — and confirms Jay is fully, privately in love.",Settling into the post-Gal calm; rituals that braid their lives together.,"Building a shared world — new traditions, the fortieth-birthday gala, and a hot-springs retreat where closeness first tips past the safe line.","Summer into winter — wanting; desire surfaces and goes unclaimed, and the fake-couple pretence dissolves the line between game and truth."
Book 3,41,New traditions,Scene 2,Obvious favouritism,"Saturday, August 4, 2018 (est.)",Saturday,1 day,"A gym session with Rus (Jay finally tells him the full Gal story), then the dreaded tailor fitting (a birthday gift from Leo). That afternoon Leo barges in with champagne and a scheme: a magnificent fortieth-birthday party for Ian. Leo names what's obvious — how much Ian matters to Jay — and recruits him to ""test the waters.""","Ian, Jay, Leo, Gal",Leo proposes Ian's 40th-birthday party,,Jay,denial/unnamed feeling,friendship | class & money | scheming-Leo,playful,warm summer Saturday,T&A,"Rus and the Gal story, tailor fitting, Leo's champagne scheme, ""test the waters""",2,"Outside eyes (Leo) name Jay's feeling before Jay will, and fire the starting gun on the gala that drives the whole arc.",Settling into the post-Gal calm; rituals that braid their lives together.,"Building a shared world — new traditions, the fortieth-birthday gala, and a hot-springs retreat where closeness first tips past the safe line.","Summer into winter — wanting; desire surfaces and goes unclaimed, and the fake-couple pretence dissolves the line between game and truth."
Book 3,41,New traditions,Scene 3,Vanilla and spices,"Monday, August 6, 2018 (est.)",Monday onward (~1 week),~1 week,"Jay sounds Ian out; Ian reluctantly agrees to the party (""no party hats, no speeches""). Stuck on what to give a man who has everything, Jay decides on **homemade infusions/tinctures** in his grandfather's style, and turns his kitchen into a small distillery. **Tia Larson** is settled on as Gal's replacement. Slow, well-staffed summer (Ray and Liv keep overtime away).","Ian, Jay, Liv, Gal, Ray, Tia",Ian agrees to the party; Jay begins the tincture gift; Tia chosen,,Jay,class & money,love-language | craft | inadequacy,warm,"warm, slow summer week",Jay's apartment,"homemade tinctures, grandfather's craft, Tia chosen, ""no party hats, no speeches""",2,"Turns the class gap into a love language — Jay's answer to ""what do you give a man who has everything"" is the one thing only he can make.",Settling into the post-Gal calm; rituals that braid their lives together.,"Building a shared world — new traditions, the fortieth-birthday gala, and a hot-springs retreat where closeness first tips past the safe line.","Summer into winter — wanting; desire surfaces and goes unclaimed, and the fake-couple pretence dissolves the line between game and truth."
Book 3,41,New traditions,Scene 4,Safe love,"Sunday, August 12, 2018 (est.)",Sunday–Monday,2 days,"Jay reasons himself into ""safe love"" — he'll want nothing, demand nothing, just keep showing up — even as intrusive thoughts about being touched by Ian intrude. Over a lounge coffee, Ian gently corrects Jay's memory of his early days: he was never a ""drama"" like Gal, just frightened and trying to disappear, which ""broke my heart.""","Ian, Jay, Gal",,,Jay,denial/unnamed feeling,repressed desire | past wound | self-effacement,longing,warm late summer,T&A,"""safe love"", intrusive thoughts of being touched, ""broke my heart"", the frightened early days",3,"Names Jay's coping doctrine — want nothing, demand nothing, just keep showing up — the denial engine of the book, while Ian rewrites Jay's shame about who he was at the start.",Settling into the post-Gal calm; rituals that braid their lives together.,"Building a shared world — new traditions, the fortieth-birthday gala, and a hot-springs retreat where closeness first tips past the safe line.","Summer into winter — wanting; desire surfaces and goes unclaimed, and the fake-couple pretence dissolves the line between game and truth."
Book 3,41,New traditions,Scene 5,Running,"Tuesday, August 14, 2018 (est.)",Tuesday onward,~1 week,"A new tradition: **Tuesday evening runs** along the river with Ian (replacing Jay's gym slot). Jay struggles; Ian coaches patiently. Swimming, exercise, and another **Friday dinner** thread their lives tighter together.","Ian, Jay",The Tuesday-run tradition begins,,Jay,ritual/new tradition,intimacy | care | belonging,warm,warm late-summer evenings by the river,riverside,"Tuesday runs begin, patient coaching, swimming, Friday dinner",2,Establishes the Tuesday-run ritual whose loss and revival will track their closeness across the rest of the book.,Settling into the post-Gal calm; rituals that braid their lives together.,"Building a shared world — new traditions, the fortieth-birthday gala, and a hot-springs retreat where closeness first tips past the safe line.","Summer into winter — wanting; desire surfaces and goes unclaimed, and the fake-couple pretence dissolves the line between game and truth."
Book 3,42,Invitations,Scene 1,Excessive is the minimum,"Saturday, August 18, 2018 (est.)",Saturday onward (~1 week),~1 week,"Jay arranges to co-fund a car for Tim's eighteenth. Max and Zoe return from holiday. On **Wednesday (~Aug 22)** Leo unveils embossed invitations to a ballroom gala — ""about a hundred people"" (a lie) — ""in four and a half weeks."" Ian, over Friday dinner, again loses the argument that Jay should take vacation alone.","Ian, Jay, Leo, Zoe, Max, Tim","Gala invitations issued (""4½ weeks out"")",,Jay,class & money,generosity | found-family | runaway-scale,comic,warm late August,T&A,"co-funding Tim's car, embossed invitations, ""about a hundred people"" (a lie), vacation argument",2,"Sets the gala's runaway scale and re-states the wealth gulf, while Ian quietly wins the right to share Jay's vacation.",The gala's gravity pulls everyone in; old ghosts and small jealousies surface.,"Building a shared world — new traditions, the fortieth-birthday gala, and a hot-springs retreat where closeness first tips past the safe line.","Summer into winter — wanting; desire surfaces and goes unclaimed, and the fake-couple pretence dissolves the line between game and truth."
Book 3,42,Invitations,Scene 2,Complications,"Saturday, August 25, 2018 (est.)",Saturday–Tuesday,~4 days,"Rus reveals he, Mic, and Van were invited (Leo over-invited wildly). That evening Ian takes Jay to a **classical concert** — which sours when memories of Sam Connelly (who feigned a love of classical music) intrude; Ian goes distant, and each blames himself. Monday, **Ema calls**: Leo invited her too, and she desperately wants to attend.","Ian, Jay, Leo, Sam, Ema",The concert (Sam Connelly's ghost); Ema's invitation surfaces,,Mixed,past wound,ghosts-of-the-past | distrust | self-blame,tense,late-August evening,concert hall,"the concert, Sam Connelly's ghost, Ian goes distant, Ema's invitation surfaces",4,Surfaces Ian's defining wound to show how it still sabotages tenderness — the haunted concert the island will later be written over.,The gala's gravity pulls everyone in; old ghosts and small jealousies surface.,"Building a shared world — new traditions, the fortieth-birthday gala, and a hot-springs retreat where closeness first tips past the safe line.","Summer into winter — wanting; desire surfaces and goes unclaimed, and the fake-couple pretence dissolves the line between game and truth."
Book 3,42,Invitations,Scene 3,The most proper man,"Friday, August 31, 2018 (est.)",Friday onward,~few days,"Leo is unreachable for two weeks; Ema's pleading texts pile up; Jay's mother refuses. **The final tailor fitting (Sat ~Sep 1)** completes Jay's suit collection. Sunday Leo finally answers — he was abroad, hunting Ian's gift across **three countries** — which sends Jay spiraling that his homemade tinctures are inadequate.","Ian, Jay, Leo, Ema",Tailoring complete; Leo's globe-trotting gift hunt revealed,,Jay,class & money,inadequacy | family-friction | anxiety,anxious,early September,tailor's,"tailoring complete, Leo's three-country gift hunt, tincture doubt, mother refuses",3,Sharpens Jay's worth-anxiety — his homemade gift weighed against Leo's globe-spanning one — the doubt the gala's payoff exists to answer.,The gala's gravity pulls everyone in; old ghosts and small jealousies surface.,"Building a shared world — new traditions, the fortieth-birthday gala, and a hot-springs retreat where closeness first tips past the safe line.","Summer into winter — wanting; desire surfaces and goes unclaimed, and the fake-couple pretence dissolves the line between game and truth."
Book 3,42,Invitations,Scene 4,Tia Larson,"Monday, September 3, 2018",Monday onward (~1 week),~1 week,"First week of September: Amy and Luc return; **Tia Larson starts** (ex-military, blunt, capable — nothing like Gal, though Jay stays wary). She integrates fast; Friday brings her loud **welcome drinks** (she out-drinks Max and Luc). Ian leaves early, privately annoyed it cut into their Friday dinner. Two weeks to the gala.","Ian, Jay, Amy, Luc, Max, Gal, Tia",Tia Larson joins the team (Gal's replacement),,Mixed,work & competence,wariness | possessiveness | found-family,playful,early September,T&A,"Tia starts, ex-military and blunt, welcome drinks, Ian leaves early (privately annoyed)",2,Replaces Gal with her opposite so the office threat recedes — and shows Ian's quiet possessiveness over their Friday ritual.,The gala's gravity pulls everyone in; old ghosts and small jealousies surface.,"Building a shared world — new traditions, the fortieth-birthday gala, and a hot-springs retreat where closeness first tips past the safe line.","Summer into winter — wanting; desire surfaces and goes unclaimed, and the fake-couple pretence dissolves the line between game and truth."
Book 3,42,Invitations,Scene 5,Daring outfit,"Saturday, September 8, 2018 (est.)",Saturday onward,~3 days,"Worn down, Jay relents: **Ema may attend** (with her best friend **Lam**), under strict conditions. Monday he visits **Hathaway's**, where the clerk **Eli** styles a bold floral-blazer look and offers a day-of hairstylist; Jay impulsively promises Eli an invitation. Ian, hearing Jay invited ""an acquaintance,"" is quietly, pettily jealous.","Ian, Jay, Ema",Ema (and Lam) cleared to attend; Eli styles Jay's gala look,,Mixed,denial/unnamed feeling,jealousy | self-presentation | transformation,playful,early September,Hathaway's,"bold floral blazer, Eli the clerk, day-of hairstylist, Ema cleared, Ian pettily jealous",3,Plants Ian's first overt jealousy (over Eli) and Jay's transformation into someone who can hold the gala's stage.,The gala's gravity pulls everyone in; old ghosts and small jealousies surface.,"Building a shared world — new traditions, the fortieth-birthday gala, and a hot-springs retreat where closeness first tips past the safe line.","Summer into winter — wanting; desire surfaces and goes unclaimed, and the fake-couple pretence dissolves the line between game and truth."
Book 3,43,The celebration,Scene 1,Gold lions and carved dragons,"Monday, September 10, 2018 (est.)",Monday onward (~1.5 weeks),~1.5 weeks,"Jay secures Eli's invitation from Leo and recruits Ian's contacts to help find Tim's car. Leo, snooping in Jay's tincture-filled kitchen, teases that Jay clearly adores Ian. The final week before the gala closes in; Jay chooses his three best tinctures and boxes them with a handwritten note.","Ian, Jay, Leo, Tim",,,Jay,denial/unnamed feeling,love-language | anticipation | scheming-Leo,warm,mid-September,Jay's apartment,"Eli's invitation secured, Tim's car hunt, boxing the three best tinctures, the handwritten note",3,Loads the gala's emotional payload — the boxed tinctures and the note — and lets Leo again name the thing Jay won't.,Jay enters Ian's glittering world; the gift that says what neither will.,"Building a shared world — new traditions, the fortieth-birthday gala, and a hot-springs retreat where closeness first tips past the safe line.","Summer into winter — wanting; desire surfaces and goes unclaimed, and the fake-couple pretence dissolves the line between game and truth."
Book 3,43,The celebration,Scene 2,Incandescent,"Tuesday, September 18, 2018 (est.)",Tuesday–Saturday,~5 days,"Rain cancels Tuesday's run. Leo arranges a full Cinderella treatment for the girls (car, dresses, hair) and buries Jay in pointless day-of ""errands"" as deliberate sabotage. Friday the girls arrive; Saturday Jay is styled, then made over an hour late by the errands. He descends the gala staircase and the room turns — **Ian forgets the entire party at the sight of him.**","Ian, Jay, Leo","Jay's grand entrance; ""incandescent""",,Mixed,repressed desire,transformation | longing | sabotage-comedy,charged,rain cancels the Tuesday run; gala Saturday,the gala,"Cinderella treatment, Leo's sabotage errands, the staircase entrance, ""incandescent""",4,Delivers the first overwhelming image of Ian's desire — he forgets the entire party at the sight of Jay — the wanting made undeniable to him.,Jay enters Ian's glittering world; the gift that says what neither will.,"Building a shared world — new traditions, the fortieth-birthday gala, and a hot-springs retreat where closeness first tips past the safe line.","Summer into winter — wanting; desire surfaces and goes unclaimed, and the fake-couple pretence dissolves the line between game and truth."
